step,cycles,threshold_0_int,threshold_1_int,threshold_2_int,observation_0,observation_1,observation_2,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int,overflow,numeric_error,solver_error
192,1306,-26744,103724,831233,1,-1,1,-27722,101360,832951,686,926,-129,926,1659,-167,-129,-167,634,0,0,0
193,1306,-4420,101405,788396,-1,1,1,-3869,103271,789816,721,1009,-90,1009,1832,-125,-90,-125,594,0,0,0
194,1306,15534,104071,748864,-1,-1,1,10633,95871,750634,753,1088,-52,1088,2000,-77,-52,-77,562,0,0,0
195,1306,26175,97738,712488,1,1,-1,31263,106422,710990,784,1161,-18,1161,2159,-29,-18,-29,540,0,0,0
196,1306,45227,110819,676288,-1,-1,-1,39892,101573,674843,810,1228,18,1228,2306,26,18,26,524,0,0,0
197,1306,51584,107696,642418,1,1,1,57213,117575,644050,833,1289,48,1289,2442,75,48,75,514,0,0,0
198,1306,68978,127094,614878,-1,-1,-1,63075,116617,613027,853,1341,81,1340,2561,132,81,132,508,0,0,0
199,1306,73797,128154,585848,1,1,-1,79378,138222,585315,869,1385,109,1385,2666,182,109,182,506,0,0,0
200,1306,91447,153970,561864,-1,1,-1,92534,156906,560829,883,1423,141,1423,2759,241,141,241,509,0,0,0
201,1306,105965,176583,540900,1,1,1,112509,188506,543463,893,1452,175,1452,2833,304,175,304,518,0,0,0
202,1306,128533,213544,528692,1,1,1,135249,225841,531596,901,1476,216,1476,2890,378,216,378,534,0,0,0
203,1306,154459,256810,523386,-1,-1,-1,147572,244167,520076,905,1489,263,1489,2922,462,263,463,559,0,0,0
204,1306,168219,278901,515955,1,1,1,175240,291812,519660,906,1492,305,1492,2933,540,305,540,588,0,0,0
205,1306,200084,332878,525164,-1,-1,1,194785,323032,524208,904,1484,357,1485,2918,631,357,631,631,0,0,0
206,1306,222094,367886,536945,-1,1,-1,222597,369841,536035,898,1468,408,1468,2878,718,408,718,683,0,0,0
207,1306,253755,419056,560408,-1,1,-1,254057,420639,559413,889,1442,463,1442,2812,809,463,809,749,0,0,0
208,1306,288966,472481,597954,1,-1,1,288884,471287,599080,875,1400,521,1400,2707,898,521,898,832,0,0,0
209,1306,326584,522188,653662,1,-1,1,326765,521449,654989,858,1344,581,1344,2566,981,581,981,934,0,0,0
210,1306,366180,566447,727463,1,1,-1,369994,573234,729118,834,1268,639,1268,2380,1045,639,1045,1053,0,0,0
