step,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int
367,166883,256579,613179,868,1370,302,1370,2624,511,302,511,605
368,183523,280885,605923,871,1379,340,1379,2645,578,340,579,636
369,209005,322442,607749,872,1381,380,1381,2649,646,380,647,672
370,239808,371459,623322,868,1370,425,1370,2622,722,425,722,721
371,267154,409693,647914,861,1347,478,1347,2563,804,478,804,788
372,299157,454301,685789,850,1309,530,1309,2471,878,530,878,867
373,333217,495773,738104,833,1257,582,1257,2343,944,582,944,962
374,358475,512954,794769,811,1187,630,1187,2175,991,630,991,1069
375,381451,519635,858643,786,1110,668,1110,1993,1009,668,1009,1174
376,407829,522922,936519,758,1025,692,1025,1802,998,692,998,1269
377,424756,501527,1011052,727,934,704,934,1604,957,704,957,1353
378,441055,472471,1091515,696,844,700,844,1419,890,700,890,1412
379,439726,411828,1151534,664,756,683,756,1250,801,683,801,1444
380,425987,334536,1190075,632,681,649,681,1116,700,649,700,1436
381,406687,260155,1213467,605,625,600,625,1025,599,600,599,1386
